content,label
i had added a routine & by default it took a date almost 8 days ahead from today's date... i m unable to change the date... it's frustrating...,Crashes
"I hate when the sounds ads come out out of nowhere, eventho i close this app in the background",Complaints
"Easy to program, not bad at all",Complaints
"Habitica has been a massive positive push in my life. I dont make alot of game reviews, but i kinda felt like i had to for this one. I have adhd and it mainly affects my executive function which gives me alot of issues with procrastinating and putting things off and letting things like my personal hygiene and im ashamed to admit this, but the care for my animals go. Having a place to manage all that with an immediate repercussion, even if digital has been a wonderful motivator",Bugs
"My settings kept on changing ever time I reopen the app. For example, fear is set to zero, when I open the app again, fear is set to 80. Why? Please fix this. It's getting tiresome to re-do the settings over and over.",Crashes
"I've been wanting a habit tracker that is fun and this definitely is. There are a few loading issues every so often, if those bugs weren't there I'd give 5 stars. All around though enjoyable, easy to use, and a great way to keep track of good and bad habits.",Bugs
Sync is a bit slow. Widget does not update very quickly either. Otherwise smooth interface and no other issues.,Bugs
Why this app consumes so MUCH traffic in background? This month it hit the 500mb (!!!) in bg. Is this app free of malware elements?,Other
Amazing app.. One request from the developers.. This app is turning humans into better humans so 'the rouge' class should be renamed to 'the Ninja' or something as it affects the subconscious brain of users without even them noticing it..(this pure psychology) And this is how low of attraction works.. Never talk or think of things which you don't want in life.. You yourself would not want anyone to be Rouge. So please give 'ROUGE' SOME positive polish.. If you can. Only a humble suggestion.,Praises
"If you don't allow access to the contacts you can't use the app. REALLY??? NO app, I repeat NO APP needs access to contacts to run. My contacts are private and none of your business. I've denied access on every single app that asks for it and they all run fine. You apparently are too persistent for reasons I can't see... uninstalled on the spot. Let me know when you reconsider your requirements.",Complaints
"Have only used the app a little while, not to bad for basic tasks. To bad you can't do lots of tasks unless you buy the premium version. It's an easy app to use",Complaints
Will not let me register. Tried uninstalling and reinstalling. Tried both the email login and the Facebook login.,Complaints
I purchsed it in order to use projects and subtasks.  Disappointed to see its just tasks under projects and doesnt really have subtasis at all.  How do I cancel my subscription?,Other
Why there's no option to change schedule?,Crashes
Sync not working. Don't buy in-app purchase.,Complaints
Too many errors,Bugs
I love the widget but whenever I edit an event on the calendar it changes the day to like the day before without me doing so and it's extremely annoying,Crashes
Widget out of memory,Other
"Could be good if basic features like icons weren't locked behind a paid subscription. Update: your calling THEMES an advanced feature because you want to not because it is one.... Sorry but changing the background color to black, which it should be in the first place isn't an advanced feature, it's about one line of code. I'm a software engineer myself and know the difference between the two. Same goes for icons which are essentially to app functionality. Check out Notion for a great example.",Crashes
I liked this app BUT stop deleting events I add on. I can't keep re-adding events every hour. I'm getting frustrated and will have to uninstall unless it's corrected.,Complaints
It's been 1 week since I'm using the app. The reminder system worked fine for 1day and from next day the reminder system stopped functioning. Really disappointed. May be uninstalling the app after few days. Hope this helps.,Praises
"This app doesnt require your firstborn in order to function as similar apps do. The Quick post function is great. However, unlike other similar apps, this doesnt have a widget feature to show what the upcoming daily task is on the screen. So for me, that is really unfortunate. If this changes, I will gladly give this a perfect rating.",Crashes
Keeps on crashing :(,Crashes
"When I modify the tasks online they don't automatically sync in the phone Because of this problem I forget about a task I had to do It can't sync with google calendar For the rest, it's very well done and very nice",Bugs
"I can't set my time the same time I write up a task. I always have to save then revisit and set the time, which is very annoying. Also I can't upgrade to the premium version which is very disappointing. Overall not a bad app but there are a few things that need to be tweaked",Complaints
"Used to use this app, stopped for a few months, then came back to find that the app had been completely changed and that ll of my routines, tags, etc...had been wiped out. I'm pretty disappointed.",Crashes
I use it mainly for its widgets. ONE THING THOUGH: please fix the widgets so that the they show the current date and don't stay put on the previous day unless manually changed.,Crashes
"Easy to use and having most functions that I desire. Just one thing I would suggest: for the recurring tasks, it would be more useful if I mark completed this time but the app will remark it as an open task when it reaches half of the interval before next due date. Hope the smart developer can make it works like this way soon. Good luck! ☺",Praises
I kinda love this app but the only problem that I've face now is that i want to have my task on my pc and i think it would be great if you could put some accounts so that we can easily sort our task in any devices that we are into,Bugs
"Does what it's supposed to, one time charge for premium (which is still pretty basic...) I wish there was a was to make the list view more compact, visually hard to scan over the list. Also a custom order option would be great.",Praises
"I don't get task notifications anymore!!! This app has become useless. I have uninstalled and reinstalled, turned on / allowed notifications in the settings yet nothing.",Complaints
"Worthless, uninstalled after 2min what is the point of adding my schedule and goals without having a reminder!! This is the basic goal of the app you can't make it premium just make the full app with subscriptions instead of scamming people to have more downloads",Complaints
"Good app. I agree with other reviews, the addition of tasks will make it great. Update: The new edition seems to be less useful. It seems one need the pro version to get it to work well. revised update. The app is very useful to ser in one vie appointments highly recommended",Praises
Update killed it a few months ago. The notes were all wrongly ordered. Pointed out the issues to the developer 1.5 months ago but no fix till date. Giving up on this app.,Bugs
After updating ..the app is crashing ..its not working,Crashes
"Note icons issue is fixed. Shared lists are not syncing properly. When completing an item from the owner list, it doesn't get completed on a shared users list. But if a shared user checks an item is complete it IS checked as complete on the owners list. The sync is broken.",Bugs
"It was a bad app it was to challenging and it was so stupid. I would not 
recommend it to anyone. DONT GET IT IT SERIOUSLY SUCKS!!!!!!!",Complaints
"Desktop and web version is slow, awkward, and useless. App for phone is good. As soon as I have time, I will switch to something else. Makes me miss Wunderlist",Complaints
"New UI design is amazing! Only one mistake... when I edit a task, the save button is not showing but I can click that...look into it. Edit: Its fixed now already, Thank you :)",Praises
Loved it untill recently when it started playing adds eveytime i put in an appointment. Now ill have to get a new calender app after years of using it and loving it. Too bad.,Praises
Way too expensive for the premium features. While I don't mind paying for an app there are many other apps that track to-do items for far less money,Other
"A great app that helps create new habits or break bad habits. If you want to set goals, this is the app to use. Tried many of the same type of apps and this is, by far, the best & easiest to use.",Praises
It would be better if there are more options for customising the avatar and theme which is in purple. You will need to spend money for a decent background. The avatar is pixelated and doesn't look good. Getting a bit bored of it now.,Other
Very nice setup. Thought enough of it to pay for premium. Couple things - add ability to change watch hand colors (arms match scheduled event making it impossible to see) - add ability to increase watch face inner diameter digital time (difficult to read). Watch = Ticwatch Pro 4g Phone = Moto Z3 w/Pie,Crashes
Great! Get it!,Praises
Uninstalled. Couldn't get it to register. Disappointed,Complaints
Please add start view that has many favorite projects easily accessible. Would be better if it was possible to add top of the list. It is not easy to use with one hand since everything is in the top left corner (please add material design button for favorite projects to bottom). Lists do not automatically sort and sort needs to be done again if anything is changed.,Crashes
"I just started using this. One thing I would like to see is the ability to add check boxes to an event. For example I have a time slot labeled housework scheduled from 11am to 12pm. I would like to be able to tap on that block of time and see that I need to do dishes, vaccume, and dust in that time frame, and be able to mark off each task as it is complete.",Other
"Worked fine for months, now it doesn't track habits the way I set them. It treats every day as its own success or failure regardless of how I have set it up. Going to have to uninstall and find a new habit tracking app.",Complaints
"very nice app, but there are a few bugs with the widget not really updating to the correct data e.g. - if you put the widget on home screen, change the name of the tasks list, it doesn't update",Bugs
Went for the premium subscription without a doubt. Definitely benefitial to those to use it honestly. Edit: Everything's good but after changing phones I've suffered having to manually copy the same habit list because the sync function just doesn't work.,Crashes
not bad,Complaints
App kept on crashing. I had to delete and download the app three times this week alone. I love the app. It has been very helpful. But this issue has been very annoying,Bugs
"This new planner pro for which I paid for life is poorer than the previous version. I take ages to open, does not immediatly delete bring not all old tasks forward. Very bad.",Complaints
Very good app for keeping records of your habits.,Other
"Good app but it would be great if we could add categories of our own..also some more widgets would be useful..such as one for tasks and for a single habit,etc..and it would be awesome if there was like a sharing board..to share our progress with other users if the app and compete with friends in a group and be accountable for each other..it would be reallly helpful in the habit forming process.. Love your app..Please consider these changes..",Crashes
"I've been switching between task apps for years, this seems the most intuitive and allows me to be the most productive. Quite a few features are paid for though, and although I would be willing to pay a larger upfront fee, a monthly fee isn't a commitment I'd be willing to make",Other
